student_id,cgpa,coding_skill,dsa_skill,math_aptitude,communication_skill,security_knowledge,projects_count,internships_count,certifications_count
232,4.8,6.3,5.5,5.7,4.0,7.9,4,1,4
233,7.1,8.0,9.0,8.2,3.5,6.4,6,3,4
234,6.0,6.5,5.5,5.9,4.2,6.7,4,0,3
235,5.2,5.8,5.2,6.2,8.1,4.8,4,0,0
236,8.9,5.4,4.2,6.0,4.9,7.4,4,2,2
237,7.6,6.1,4.3,3.6,4.6,4.4,4,0,1
238,6.3,0.6,4.2,2.6,4.9,3.3,2,1,0
239,7.2,6.3,6.1,6.9,5.7,8.2,2,0,3
240,7.2,9.3,9.1,8.2,3.8,5.0,8,1,1
241,7.0,7.8,5.8,6.6,5.4,9.3,7,2,1
242,7.0,6.9,6.4,5.0,6.9,5.6,6,0,0
243,6.9,7.4,5.2,7.0,4.4,4.9,7,1,4
244,8.8,9.5,8.3,9.6,7.6,7.1,6,2,3
245,8.2,9.0,9.5,9.4,7.5,3.6,7,0,5
246,7.7,9.7,7.4,5.6,4.3,5.5,4,1,5
247,8.8,9.5,10.0,7.3,1.5,5.3,6,0,2
248,7.7,10.0,8.9,8.8,8.2,6.5,6,1,0
249,6.9,7.0,6.9,7.4,4.3,4.1,4,4,3
250,7.8,5.0,3.9,6.4,4.2,4.2,3,3,1
251,7.6,5.7,5.6,5.9,4.7,9.4,2,0,4
252,4.8,1.6,3.8,5.3,4.4,0.6,2,0,0
253,6.1,8.0,8.3,6.7,4.7,5.0,6,1,1
254,5.5,3.5,5.3,5.1,2.7,3.9,2,3,0
255,9.8,10.0,7.1,7.2,8.2,3.7,4,2,5
256,5.0,3.6,4.4,6.5,3.8,3.0,3,0,1
257,8.6,8.2,6.9,6.8,7.8,7.7,6,2,4
258,5.8,7.4,6.5,9.1,4.5,8.0,5,2,2
259,7.6,5.5,5.0,6.1,6.2,7.8,2,0,1
260,6.9,8.3,6.6,7.2,6.6,6.0,8,3,3
261,7.0,8.9,9.2,6.4,4.0,3.1,5,2,2
262,9.2,5.4,5.8,6.0,4.9,8.4,4,2,5
263,7.3,6.5,6.5,5.2,5.9,7.6,5,4,3
264,4.9,7.8,10.0,8.2,4.3,6.7,6,2,3
265,8.9,9.6,7.6,7.3,9.5,6.8,7,2,2
266,5.5,5.2,3.7,1.9,4.2,5.1,1,0,2
267,5.4,3.1,4.3,3.3,5.9,3.7,1,0,0
268,9.8,7.5,6.1,8.7,8.3,7.1,6,2,4
269,4.9,3.1,5.4,1.9,5.1,1.0,1,0,0
270,6.0,3.0,0.5,5.0,6.2,4.8,1,0,2
271,8.9,7.4,8.7,8.0,1.8,6.1,8,2,4
272,7.7,8.4,9.0,6.5,2.8,7.0,7,0,3
273,7.4,7.1,6.7,6.1,6.7,8.9,5,0,5
274,6.1,4.4,1.1,3.0,6.0,3.3,0,1,0
275,7.4,8.7,9.9,6.4,2.8,5.3,6,0,0
276,8.0,5.8,5.0,3.8,4.2,8.5,5,0,5
277,7.7,10.0,8.3,7.3,7.3,8.1,8,1,3
278,7.6,7.3,8.4,7.5,5.4,6.9,5,1,3
279,7.7,6.4,4.3,4.9,6.7,8.3,6,0,3
280,8.4,2.2,0.7,5.5,3.5,3.0,0,0,0
281,7.0,4.3,4.2,5.1,3.8,4.0,3,1,1
282,6.5,4.7,5.8,7.2,4.9,5.1,3,1,3
283,6.4,9.0,9.5,7.7,8.7,5.7,4,2,1
284,6.2,7.0,2.7,4.0,4.3,4.4,3,3,2
285,6.7,6.0,4.0,6.5,4.2,5.5,4,1,1
286,6.0,0.1,3.4,3.9,4.4,3.8,1,0,0
287,6.6,5.7,6.2,4.2,5.7,6.0,1,1,0
288,6.1,4.4,4.8,7.7,4.0,3.1,1,3,0
289,6.0,4.4,4.7,8.4,7.2,3.5,4,0,0
290,6.7,4.9,4.3,3.4,4.3,3.9,1,0,0
291,7.8,4.1,5.8,5.9,6.4,5.5,2,0,0
292,8.6,7.8,7.7,5.3,6.1,6.5,6,2,3
293,7.3,8.0,10.0,8.2,3.4,6.1,4,3,1
294,6.1,4.8,3.5,4.1,4.5,2.9,0,0,2
295,5.6,4.9,6.3,6.3,6.2,4.2,4,0,1
296,6.7,4.5,1.8,3.0,4.6,5.1,0,0,0
297,6.6,6.0,4.9,6.0,4.4,6.7,5,2,4
298,5.7,8.9,9.3,6.3,4.0,5.4,7,3,0
299,5.4,6.7,6.2,4.3,6.1,4.4,4,1,2
300,7.1,6.3,6.8,6.7,5.9,7.7,3,0,2
